"","x","y","region","id","hemisphere","region_hemisphere"
"1",561,389,"watershed_ant",1,"left","watershed_ant_left"
"2",556,373,"watershed_ant",2,"left","watershed_ant_left"
"3",552,361,"watershed_ant",3,"left","watershed_ant_left"
"4",550,353,"watershed_ant",4,"left","watershed_ant_left"
"5",543,350,"watershed_ant",5,"left","watershed_ant_left"
"6",527,328,"watershed_ant",6,"left","watershed_ant_left"
"7",524,331,"watershed_ant",7,"left","watershed_ant_left"
"8",530,347,"watershed_ant",8,"left","watershed_ant_left"
"9",539,371,"watershed_ant",9,"left","watershed_ant_left"
"10",544,384,"watershed_ant",10,"left","watershed_ant_left"
"11",547,396,"watershed_ant",11,"left","watershed_ant_left"
"12",550,401,"watershed_ant",12,"left","watershed_ant_left"
"13",554,395,"watershed_ant",13,"left","watershed_ant_left"
"14",485,300,"aca_ant",1,"left","aca_ant_left"
"15",487,319,"aca_ant",2,"left","aca_ant_left"
"16",495,325,"aca_ant",3,"left","aca_ant_left"
"17",500,346,"aca_ant",4,"left","aca_ant_left"
"18",506,362,"aca_ant",5,"left","aca_ant_left"
"19",513,366,"aca_ant",6,"left","aca_ant_left"
"20",522,360,"aca_ant",7,"left","aca_ant_left"
"21",528,345,"aca_ant",8,"left","aca_ant_left"
"22",534,357,"aca_ant",9,"left","aca_ant_left"
"23",539,370,"aca_ant",10,"left","aca_ant_left"
"24",543,383,"aca_ant",11,"left","aca_ant_left"
"25",548,402,"aca_ant",12,"left","aca_ant_left"
"26",544,406,"aca_ant",13,"left","aca_ant_left"
"27",537,407,"aca_ant",14,"left","aca_ant_left"
"28",532,400,"aca_ant",15,"left","aca_ant_left"
"29",529,399,"aca_ant",16,"left","aca_ant_left"
"30",531,409,"aca_ant",17,"left","aca_ant_left"
"31",530,411,"aca_ant",18,"left","aca_ant_left"
"32",518,417,"aca_ant",19,"left","aca_ant_left"
"33",508,419,"aca_ant",20,"left","aca_ant_left"
"34",504,416,"aca_ant",21,"left","aca_ant_left"
"35",501,407,"aca_ant",22,"left","aca_ant_left"
"36",500,415,"aca_ant",23,"left","aca_ant_left"
"37",498,420,"aca_ant",24,"left","aca_ant_left"
"38",492,421,"aca_ant",25,"left","aca_ant_left"
"39",482,421,"aca_ant",26,"left","aca_ant_left"
"40",477,418,"aca_ant",27,"left","aca_ant_left"
"41",476,411,"aca_ant",28,"left","aca_ant_left"
"42",478,406,"aca_ant",29,"left","aca_ant_left"
"43",489,397,"aca_ant",30,"left","aca_ant_left"
"44",482,403,"aca_ant",31,"left","aca_ant_left"
"45",476,403,"aca_ant",32,"left","aca_ant_left"
"46",476,389,"aca_ant",33,"left","aca_ant_left"
"47",480,385,"aca_ant",34,"left","aca_ant_left"
"48",486,381,"aca_ant",35,"left","aca_ant_left"
"49",478,381,"aca_ant",36,"left","aca_ant_left"
"50",474,377,"aca_ant",37,"left","aca_ant_left"
"51",474,367,"aca_ant",38,"left","aca_ant_left"
"52",480,361,"aca_ant",39,"left","aca_ant_left"
"53",488,361,"aca_ant",40,"left","aca_ant_left"
"54",495,355,"aca_ant",41,"left","aca_ant_left"
"55",484,359,"aca_ant",42,"left","aca_ant_left"
"56",478,359,"aca_ant",43,"left","aca_ant_left"
"57",474,354,"aca_ant",44,"left","aca_ant_left"
"58",476,341,"aca_ant",45,"left","aca_ant_left"
"59",481,337,"aca_ant",46,"left","aca_ant_left"
"60",488,333,"aca_ant",47,"left","aca_ant_left"
"61",479,331,"aca_ant",48,"left","aca_ant_left"
"62",477,323,"aca_ant",49,"left","aca_ant_left"
"63",476,291,"aca_ant",50,"left","aca_ant_left"
"64",551,353,"mca",1,"left","mca_left"
"65",552,359,"mca",2,"left","mca_left"
"66",556,370,"mca",3,"left","mca_left"
"67",559,382,"mca",4,"left","mca_left"
"68",564,385,"mca",5,"left","mca_left"
"69",575,386,"mca",6,"left","mca_left"
"70",582,381,"mca",7,"left","mca_left"
"71",589,375,"mca",8,"left","mca_left"
"72",590,363,"mca",9,"left","mca_left"
"73",584,355,"mca",10,"left","mca_left"
"74",577,349,"mca",11,"left","mca_left"
"75",586,354,"mca",12,"left","mca_left"
"76",595,356,"mca",13,"left","mca_left"
"77",603,354,"mca",14,"left","mca_left"
"78",608,349,"mca",15,"left","mca_left"
"79",609,340,"mca",16,"left","mca_left"
"80",609,330,"mca",17,"left","mca_left"
"81",605,321,"mca",18,"left","mca_left"
"82",597,316,"mca",19,"left","mca_left"
"83",600,317,"mca",20,"left","mca_left"
"84",606,317,"mca",21,"left","mca_left"
"85",611,310,"mca",22,"left","mca_left"
"86",615,293,"mca",23,"left","mca_left"
"87",611,282,"mca",24,"left","mca_left"
"88",605,275,"mca",25,"left","mca_left"
"89",607,270,"mca",26,"left","mca_left"
"90",606,264,"mca",27,"left","mca_left"
"91",597,262,"mca",28,"left","mca_left"
"92",591,265,"mca",29,"left","mca_left"
"93",588,272,"mca",30,"left","mca_left"
"94",581,283,"mca",31,"left","mca_left"
"95",572,286,"mca",32,"left","mca_left"
"96",572,296,"mca",33,"left","mca_left"
"97",577,301,"mca",34,"left","mca_left"
"98",590,299,"mca",35,"left","mca_left"
"99",583,301,"mca",36,"left","mca_left"
"100",577,305,"mca",37,"left","mca_left"
"101",577,313,"mca",38,"left","mca_left"
"102",574,315,"mca",39,"left","mca_left"
"103",571,309,"mca",40,"left","mca_left"
"104",569,309,"mca",41,"left","mca_left"
"105",558,312,"mca",42,"left","mca_left"
"106",549,312,"mca",43,"left","mca_left"
"107",564,310,"mca",44,"left","mca_left"
"108",572,305,"mca",45,"left","mca_left"
"109",570,297,"mca",46,"left","mca_left"
"110",565,296,"mca",47,"left","mca_left"
"111",560,288,"mca",48,"left","mca_left"
"112",562,282,"mca",49,"left","mca_left"
"113",570,282,"mca",50,"left","mca_left"
"114",578,279,"mca",51,"left","mca_left"
"115",583,276,"mca",52,"left","mca_left"
"116",585,274,"mca",53,"left","mca_left"
"117",585,272,"mca",54,"left","mca_left"
"118",585,269,"mca",55,"left","mca_left"
"119",585,266,"mca",56,"left","mca_left"
"120",584,264,"mca",57,"left","mca_left"
"121",582,263,"mca",58,"left","mca_left"
"122",574,267,"mca",59,"left","mca_left"
"123",566,267,"mca",60,"left","mca_left"
"124",560,262,"mca",61,"left","mca_left"
"125",567,264,"mca",62,"left","mca_left"
"126",578,264,"mca",63,"left","mca_left"
"127",584,261,"mca",64,"left","mca_left"
"128",584,253,"mca",65,"left","mca_left"
"129",577,245,"mca",66,"left","mca_left"
"130",572,242,"mca",67,"left","mca_left"
"131",564,233,"mca",68,"left","mca_left"
"132",570,238,"mca",69,"left","mca_left"
"133",575,239,"mca",70,"left","mca_left"
"134",575,229,"mca",71,"left","mca_left"
"135",579,223,"mca",72,"left","mca_left"
"136",578,213,"mca",73,"left","mca_left"
"137",576,203,"mca",74,"left","mca_left"
"138",569,200,"mca",75,"left","mca_left"
"139",563,198,"mca",76,"left","mca_left"
"140",560,192,"mca",77,"left","mca_left"
"141",556,181,"mca",78,"left","mca_left"
"142",555,178,"mca",79,"left","mca_left"
"143",555,175,"mca",80,"left","mca_left"
"144",563,191,"mca",81,"left","mca_left"
"145",567,193,"mca",82,"left","mca_left"
"146",575,200,"mca",83,"left","mca_left"
"147",589,211,"mca",84,"left","mca_left"
"148",607,215,"mca",85,"left","mca_left"
"149",608,219,"mca",86,"left","mca_left"
"150",600,217,"mca",87,"left","mca_left"
"151",588,215,"mca",88,"left","mca_left"
"152",580,216,"mca",89,"left","mca_left"
"153",576,233,"mca",90,"left","mca_left"
"154",579,241,"mca",91,"left","mca_left"
"155",584,243,"mca",92,"left","mca_left"
"156",589,252,"mca",93,"left","mca_left"
"157",594,258,"mca",94,"left","mca_left"
"158",600,260,"mca",95,"left","mca_left"
"159",610,262,"mca",96,"left","mca_left"
"160",614,255,"mca",97,"left","mca_left"
"161",611,248,"mca",98,"left","mca_left"
"162",602,243,"mca",99,"left","mca_left"
"163",597,237,"mca",100,"left","mca_left"
"164",609,237,"mca",101,"left","mca_left"
"165",617,238,"mca",102,"left","mca_left"
"166",623,234,"mca",103,"left","mca_left"
"167",630,225,"mca",104,"left","mca_left"
"168",631,214,"mca",105,"left","mca_left"
"169",626,209,"mca",106,"left","mca_left"
"170",616,205,"mca",107,"left","mca_left"
"171",608,205,"mca",108,"left","mca_left"
"172",622,203,"mca",109,"left","mca_left"
"173",630,203,"mca",110,"left","mca_left"
"174",635,193,"mca",111,"left","mca_left"
"175",637,183,"mca",112,"left","mca_left"
"176",638,176,"mca",113,"left","mca_left"
"177",640,169,"mca",114,"left","mca_left"
"178",634,165,"mca",115,"left","mca_left"
"179",624,163,"mca",116,"left","mca_left"
"180",607,161,"mca",117,"left","mca_left"
"181",614,161,"mca",118,"left","mca_left"
"182",618,161,"mca",119,"left","mca_left"
"183",634,163,"mca",120,"left","mca_left"
"184",640,163,"mca",121,"left","mca_left"
"185",640,153,"mca",122,"left","mca_left"
"186",638,147,"mca",123,"left","mca_left"
"187",640,138,"mca",124,"left","mca_left"
"188",640,125,"mca",125,"left","mca_left"
"189",632,124,"mca",126,"left","mca_left"
"190",627,129,"mca",127,"left","mca_left"
"191",636,123,"mca",128,"left","mca_left"
"192",637,119,"mca",129,"left","mca_left"
"193",637,111,"mca",130,"left","mca_left"
"194",632,103,"mca",131,"left","mca_left"
"195",621,101,"mca",132,"left","mca_left"
"196",610,107,"mca",133,"left","mca_left"
"197",594,112,"mca",134,"left","mca_left"
"198",579,119,"mca",135,"left","mca_left"
"199",588,115,"mca",136,"left","mca_left"
"200",603,108,"mca",137,"left","mca_left"
"201",616,103,"mca",138,"left","mca_left"
"202",627,97,"mca",139,"left","mca_left"
"203",626,85,"mca",140,"left","mca_left"
"204",620,78,"mca",141,"left","mca_left"
"205",616,74,"mca",142,"left","mca_left"
"206",616,66,"mca",143,"left","mca_left"
"207",611,55,"mca",144,"left","mca_left"
"208",604,51,"mca",145,"left","mca_left"
"209",598,59,"mca",146,"left","mca_left"
"210",596,68,"mca",147,"left","mca_left"
"211",588,85,"mca",148,"left","mca_left"
"212",592,74,"mca",149,"left","mca_left"
"213",596,61,"mca",150,"left","mca_left"
"214",602,51,"mca",151,"left","mca_left"
"215",602,44,"mca",152,"left","mca_left"
"216",590,35,"mca",153,"left","mca_left"
"217",579,24,"mca",154,"left","mca_left"
"218",562,15,"mca",155,"left","mca_left"
"219",552,14,"mca",156,"left","mca_left"
"220",552,37,"mca",157,"left","mca_left"
"221",552,46,"mca",158,"left","mca_left"
"222",548,53,"mca",159,"left","mca_left"
"223",546,71,"mca",160,"left","mca_left"
"224",551,69,"mca",161,"left","mca_left"
"225",554,69,"mca",162,"left","mca_left"
"226",549,73,"mca",163,"left","mca_left"
"227",543,75,"mca",164,"left","mca_left"
"228",542,90,"mca",165,"left","mca_left"
"229",559,87,"mca",166,"left","mca_left"
"230",566,96,"mca",167,"left","mca_left"
"231",570,120,"mca",168,"left","mca_left"
"232",570,133,"mca",169,"left","mca_left"
"233",558,151,"mca",170,"left","mca_left"
"234",547,164,"mca",171,"left","mca_left"
"235",543,182,"mca",172,"left","mca_left"
"236",551,214,"mca",173,"left","mca_left"
"237",554,223,"mca",174,"left","mca_left"
"238",556,245,"mca",175,"left","mca_left"
"239",550,267,"mca",176,"left","mca_left"
"240",543,286,"mca",177,"left","mca_left"
"241",533,303,"mca",178,"left","mca_left"
"242",528,312,"mca",179,"left","mca_left"
"243",527,320,"mca",180,"left","mca_left"
"244",525,326,"mca",181,"left","mca_left"
"245",530,333,"mca",182,"left","mca_left"
"246",539,343,"mca",183,"left","mca_left"
"247",544,349,"mca",184,"left","mca_left"
"248",504,93,"watershed_post",1,"left","watershed_post_left"
"249",514,98,"watershed_post",2,"left","watershed_post_left"
"250",528,98,"watershed_post",3,"left","watershed_post_left"
"251",543,91,"watershed_post",4,"left","watershed_post_left"
"252",543,75,"watershed_post",5,"left","watershed_post_left"
"253",554,69,"watershed_post",6,"left","watershed_post_left"
"254",545,72,"watershed_post",7,"left","watershed_post_left"
"255",546,65,"watershed_post",8,"left","watershed_post_left"
"256",546,55,"watershed_post",9,"left","watershed_post_left"
"257",549,49,"watershed_post",10,"left","watershed_post_left"
"258",552,41,"watershed_post",11,"left","watershed_post_left"
"259",551,28,"watershed_post",12,"left","watershed_post_left"
"260",551,14,"watershed_post",13,"left","watershed_post_left"
"261",541,17,"watershed_post",14,"left","watershed_post_left"
"262",534,5,"watershed_post",15,"left","watershed_post_left"
"263",532,15,"watershed_post",16,"left","watershed_post_left"
"264",528,29,"watershed_post",17,"left","watershed_post_left"
"265",527,41,"watershed_post",18,"left","watershed_post_left"
"266",522,64,"watershed_post",19,"left","watershed_post_left"
"267",481,80,"pca",1,"left","pca_left"
"268",487,80,"pca",2,"left","pca_left"
"269",499,83,"pca",3,"left","pca_left"
"270",494,81,"pca",4,"left","pca_left"
"271",492,81,"pca",5,"left","pca_left"
"272",478,73,"pca",6,"left","pca_left"
"273",478,65,"pca",7,"left","pca_left"
"274",488,63,"pca",8,"left","pca_left"
"275",499,66,"pca",9,"left","pca_left"
"276",510,67,"pca",10,"left","pca_left"
"277",509,63,"pca",11,"left","pca_left"
"278",500,61,"pca",12,"left","pca_left"
"279",494,59,"pca",13,"left","pca_left"
"280",501,53,"pca",14,"left","pca_left"
"281",501,51,"pca",15,"left","pca_left"
"282",497,45,"pca",16,"left","pca_left"
"283",494,43,"pca",17,"left","pca_left"
"284",491,49,"pca",18,"left","pca_left"
"285",490,56,"pca",19,"left","pca_left"
"286",486,60,"pca",20,"left","pca_left"
"287",477,62,"pca",21,"left","pca_left"
"288",475,56,"pca",22,"left","pca_left"
"289",475,45,"pca",23,"left","pca_left"
"290",476,29,"pca",24,"left","pca_left"
"291",478,19,"pca",25,"left","pca_left"
"292",484,19,"pca",26,"left","pca_left"
"293",490,25,"pca",27,"left","pca_left"
"294",494,25,"pca",28,"left","pca_left"
"295",491,22,"pca",29,"left","pca_left"
"296",488,19,"pca",30,"left","pca_left"
"297",484,13,"pca",31,"left","pca_left"
"298",485,7,"pca",32,"left","pca_left"
"299",491,3,"pca",33,"left","pca_left"
"300",501,0,"pca",34,"left","pca_left"
"301",508,0,"pca",35,"left","pca_left"
"302",510,9,"pca",36,"left","pca_left"
"303",513,5,"pca",37,"left","pca_left"
"304",515,0,"pca",38,"left","pca_left"
"305",527,1,"pca",39,"left","pca_left"
"306",532,4,"pca",40,"left","pca_left"
"307",532,13,"pca",41,"left","pca_left"
"308",528,21,"pca",42,"left","pca_left"
