"","x","y","region","id","hemisphere"
"1",374.417,238.7498,"aca",1,"left"
"2",367.7249,235.7755,"aca",2,"left"
"3",365.8659,231.3141,"aca",3,"left"
"4",370.6991,224.2502,"aca",4,"left"
"5",381.1091,219.417,"aca",5,"left"
"6",399.3266,217.9298,"aca",6,"left"
"7",417.544,219.417,"aca",7,"left"
"8",426.8387,223.1348,"aca",8,"left"
"9",440.2229,231.6859,"aca",9,"left"
"10",457.6968,244.6984,"aca",10,"left"
"11",463.2736,249.1598,"aca",11,"left"
"12",469.5939,251.0187,"aca",12,"left"
"13",462.9018,243.583,"aca",13,"left"
"14",452.8636,233.9166,"aca",14,"left"
"15",436.8768,224.622,"aca",15,"left"
"16",429.4412,217.5581,"aca",16,"left"
"17",412.7108,214.212,"aca",17,"left"
"18",401.5573,213.8402,"aca",18,"left"
"19",387.4295,213.8402,"aca",19,"left"
"20",377.0195,216.0709,"aca",20,"left"
"21",369.5838,216.4427,"aca",21,"left"
"22",364.3788,209.7506,"aca",22,"left"
"23",356.5713,203.4302,"aca",23,"left"
"24",352.8535,198.2253,"aca",24,"left"
"25",354.3406,192.2767,"aca",25,"left"
"26",366.2377,188.9306,"aca",26,"left"
"27",375.1606,187.8153,"aca",27,"left"
"28",386.3333,185.3333,"aca",28,"left"
"29",396.3333,185,"aca",29,"left"
"30",408.993,183.7256,"aca",30,"left"
"31",415.6851,182.6103,"aca",31,"left"
"32",426.6667,183.3333,"aca",32,"left"
"33",438.3333,185.3333,"aca",33,"left"
"34",448.0304,188.1871,"aca",34,"left"
"35",465.8761,193.3921,"aca",35,"left"
"36",475.5425,197.1099,"aca",36,"left"
"37",482.6064,201.5713,"aca",37,"left"
"38",489.6703,210.1224,"aca",38,"left"
"39",500.8239,217.1863,"aca",39,"left"
"40",509.3749,224.622,"aca",40,"left"
"41",516.4388,234.2884,"aca",41,"left"
"42",520.5284,240.6087,"aca",42,"left"
"43",520.9002,245.8137,"aca",43,"left"
"44",520.9002,251.0187,"aca",44,"left"
"45",517.5542,255.8519,"aca",45,"left"
"46",509.0031,256.9673,"aca",46,"left"
"47",499.7085,256.2237,"aca",47,"left"
"48",494.1317,254.7366,"aca",48,"left"
"49",482.2346,248.0444,"aca",49,"left"
"50",472.5682,243.583,"aca",50,"left"
"51",467.3632,241.7241,"aca",51,"left"
"52",471.4529,247.3009,"aca",52,"left"
"53",480.0039,252.5058,"aca",53,"left"
"54",491.901,258.8262,"aca",54,"left"
"55",496.3624,262.1722,"aca",55,"left"
"56",502.6828,264.0312,"aca",56,"left"
"57",511.9774,267.3772,"aca",57,"left"
"58",519.0413,272.5822,"aca",58,"left"
"59",519.0413,279.2744,"aca",59,"left"
"60",518.6667,283.3333,"aca",60,"left"
"61",516.6667,286.3333,"aca",61,"left"
"62",511.6667,287.3333,"aca",62,"left"
"63",503.6667,281.6667,"aca",63,"left"
"64",496.6667,277,"aca",64,"left"
"65",489,271,"aca",65,"left"
"66",481.491,268.8644,"aca",66,"left"
"67",486.696,274.4411,"aca",67,"left"
"68",489.6703,279.2744,"aca",68,"left"
"69",493.0164,282.2486,"aca",69,"left"
"70",497.4778,287.0818,"aca",70,"left"
"71",502.311,287.4536,"aca",71,"left"
"72",508,292.6667,"aca",72,"left"
"73",512,299.3333,"aca",73,"left"
"74",512.6667,309.6667,"aca",74,"left"
"75",513,315.3333,"aca",75,"left"
"76",509.6667,330,"aca",76,"left"
"77",505.6667,337,"aca",77,"left"
"78",498,344.3333,"aca",78,"left"
"79",494.6667,351.3333,"aca",79,"left"
"80",485.3333,360.3333,"aca",80,"left"
"81",478.8885,366.272,"aca",81,"left"
"82",469.2221,367.7592,"aca",82,"left"
"83",465.8761,361.4388,"aca",83,"left"
"84",462.9018,356.9774,"aca",84,"left"
"85",461.4147,358.4645,"aca",85,"left"
"86",465.8761,363.6695,"aca",86,"left"
"87",467.735,367.7592,"aca",87,"left"
"88",467.735,372.9641,"aca",88,"left"
"89",460.2993,379.2845,"aca",89,"left"
"90",456.9532,378.1691,"aca",90,"left"
"91",451.7482,378.1691,"aca",91,"left"
"92",446.5433,371.8488,"aca",92,"left"
"93",443.9408,368.5027,"aca",93,"left"
"94",439.8511,360.6953,"aca",94,"left"
"95",441,353,"aca",95,"left"
"96",450.6329,348.4263,"aca",96,"left"
"97",455.4661,340.6189,"aca",97,"left"
"98",458.0686,336.1574,"aca",98,"left"
"99",460.6711,330.9525,"aca",99,"left"
"100",466.75,329.5,"aca",100,"left"
"101",471,329,"aca",101,"left"
"102",474,326,"aca",102,"left"
"103",478.25,323.25,"aca",103,"left"
"104",480.5,319,"aca",104,"left"
"105",480.5,311,"aca",105,"left"
"106",480.25,303.25,"aca",106,"left"
"107",481,294.75,"aca",107,"left"
"108",480.5,291,"aca",108,"left"
"109",480.5,289.75,"aca",109,"left"
"110",480,289.25,"aca",110,"left"
"111",474.0553,281.8768,"aca",111,"left"
"112",469.9657,278.9026,"aca",112,"left"
"113",464.0172,272.954,"aca",113,"left"
"114",455.0943,265.1465,"aca",114,"left"
"115",445.7997,257.3391,"aca",115,"left"
"116",437.9922,252.1341,"aca",116,"left"
"117",429.0694,247.6726,"aca",117,"left"
"118",419.7747,242.8394,"aca",118,"left"
"119",410.1083,237.2627,"aca",119,"left"
"120",400.8137,233.173,"aca",120,"left"
"121",391.8909,232.0577,"aca",121,"left"
"122",383.3398,231.3141,"aca",122,"left"
"123",381.4809,234.2884,"aca",123,"left"
"124",384.4552,236.1473,"aca",124,"left"
"125",390.4037,236.8909,"aca",125,"left"
"126",398.2112,237.6344,"aca",126,"left"
"127",406.0187,238.7498,"aca",127,"left"
"128",412.3391,242.8394,"aca",128,"left"
"129",424.2362,247.3009,"aca",129,"left"
"130",432.4154,253.2494,"aca",130,"left"
"131",437.2486,255.1083,"aca",131,"left"
"132",445.0561,261.0569,"aca",132,"left"
"133",450.6329,265.5183,"aca",133,"left"
"134",459.1839,275.1847,"aca",134,"left"
"135",463.2736,281.8768,"aca",135,"left"
"136",474,295.25,"aca",136,"left"
"137",477.5,307.5,"aca",137,"left"
"138",474.5,317.5,"aca",138,"left"
"139",468.25,325,"aca",139,"left"
"140",459,328.5,"aca",140,"left"
"141",455.25,331.5,"aca",141,"left"
"142",450,337.75,"aca",142,"left"
"143",444.75,335.5,"aca",143,"left"
"144",433.5308,326.8628,"aca",144,"left"
"145",435.0179,331.3242,"aca",145,"left"
"146",440.9665,336.5292,"aca",146,"left"
"147",443.75,344.75,"aca",147,"left"
"148",435.3897,346.9392,"aca",148,"left"
"149",428.3258,349.5417,"aca",149,"left"
"150",423.1208,349.5417,"aca",150,"left"
"151",417.1723,354.7467,"aca",151,"left"
"152",408.6212,359.2081,"aca",152,"left"
"153",401.5573,358.8363,"aca",153,"left"
"154",397.0959,359.9517,"aca",154,"left"
"155",391.1473,363.6695,"aca",155,"left"
"156",384.827,366.272,"aca",156,"left"
"157",375.5323,367.7592,"aca",157,"left"
"158",364.007,367.7592,"aca",158,"left"
"159",356.5713,370.3616,"aca",159,"left"
"160",353.2253,376.682,"aca",160,"left"
"161",356.9431,376.3102,"aca",161,"left"
"162",364.7506,374.4513,"aca",162,"left"
"163",370.6991,372.9641,"aca",163,"left"
"164",374.7888,374.0795,"aca",164,"left"
"165",378.5066,378.5409,"aca",165,"left"
"166",381.1091,383.3741,"aca",166,"left"
"167",385.1988,387.092,"aca",167,"left"
"168",387.8013,387.092,"aca",168,"left"
"169",388.9166,383.0023,"aca",169,"left"
"170",388.5448,377.7973,"aca",170,"left"
"171",386.6859,374.4513,"aca",171,"left"
"172",387.0577,369.9899,"aca",172,"left"
"173",392.2627,367.7592,"aca",173,"left"
"174",398.2112,365.9002,"aca",174,"left"
"175",401.1855,364.7849,"aca",175,"left"
"176",407.1341,364.7849,"aca",176,"left"
"177",409.7366,364.0413,"aca",177,"left"
"178",414.9415,361.4388,"aca",178,"left"
"179",417.544,359.9517,"aca",179,"left"
"180",420.8901,357.3492,"aca",180,"left"
"181",425.3515,354.3749,"aca",181,"left"
"182",428.6976,354.3749,"aca",182,"left"
"183",431.3001,354.3749,"aca",183,"left"
"184",434.6461,355.1185,"aca",184,"left"
"185",435.0179,357.721,"aca",185,"left"
"186",435.7615,361.8106,"aca",186,"left"
"187",437.6204,366.272,"aca",187,"left"
"188",437.6204,368.1309,"aca",188,"left"
"189",439.1076,370.7334,"aca",189,"left"
"190",441.7101,372.9641,"aca",190,"left"
"191",442.8254,377.4256,"aca",191,"left"
"192",442.8254,381.887,"aca",192,"left"
"193",439.8511,388.5791,"aca",193,"left"
"194",431.6719,393.0405,"aca",194,"left"
"195",421.2619,397.5019,"aca",195,"left"
"196",417.9158,399.3609,"aca",196,"left"
"197",409.3648,404.1941,"aca",197,"left"
"198",400.4419,406.7966,"aca",198,"left"
"199",388.5448,407.9119,"aca",199,"left"
"200",383.3398,407.5401,"aca",200,"left"
"201",375.5323,404.1941,"aca",201,"left"
"202",372.1863,399.7327,"aca",202,"left"
"203",370.3274,395.2712,"aca",203,"left"
"204",369.212,393.7841,"aca",204,"left"
"205",369.212,398.2455,"aca",205,"left"
"206",367.7249,402.7069,"aca",206,"left"
"207",366.6095,407.9119,"aca",207,"left"
"208",364.3788,409.3991,"aca",208,"left"
"209",356.1995,414.604,"aca",209,"left"
"210",352.1099,416.463,"aca",210,"left"
"211",344.3024,417.5783,"aca",211,"left"
"212",339.0974,418.3219,"aca",212,"left"
"213",334.636,418.3219,"aca",213,"left"
"214",326.085,418.3219,"aca",214,"left"
"215",322.3671,420.1808,"aca",215,"left"
"216",318.2775,417.9501,"aca",216,"left"
"217",314.5596,415.3476,"aca",217,"left"
"218",311.9571,411.6298,"aca",218,"left"
"219",313.4443,406.4248,"aca",219,"left"
"220",314.9314,400.4762,"aca",220,"left"
"221",311.9571,396.0148,"aca",221,"left"
"222",311.9571,391.9252,"aca",222,"left"
"223",311.9571,387.4638,"aca",223,"left"
"224",312.3289,385.6048,"aca",224,"left"
"225",317.5339,380.7716,"aca",225,"left"
"226",323.1107,380.3998,"aca",226,"left"
"227",330.5464,383.3741,"aca",227,"left"
"228",333.5207,392.297,"aca",228,"left"
"229",336.1231,392.6687,"aca",229,"left"
"230",337.6103,387.4638,"aca",230,"left"
"231",337.2385,382.2588,"aca",231,"left"
"232",334.636,378.1691,"aca",232,"left"
"233",333.8925,377.0538,"aca",233,"left"
"234",332.0335,371.1052,"aca",234,"left"
"235",332.4053,364.0413,"aca",235,"left"
"236",333.5207,359.9517,"aca",236,"left"
"237",338.7256,354.3749,"aca",237,"left"
